aaa,9906595,9170,353,178
aab,9995832,8138,76,51
aac,9890333,7760,292,164
aad,9631693,8680,226,122
aae,9987469,8207,513,336
aaf,9986986,8618,80,33
aag,9960792,9374,293,111
aba,9226414,9640,187,90
abb,9974607,8334,188,124
abc,9864187,10755,51,21
abd,9521605,10360,71,41
abe,9495030,9974,262,137
abf,9937185,8415,101,52
abg,9935540,8359,234,139
aca,9818392,9168,48,12
acb,9993776,8425,213,127
acc,9725046,8562,248,83
acd,9719481,10131,17,6
ace,9851597,10207,192,89
acf,9511119,8543,143,74
acg,9964365,8846,23,7
ada,9814649,8950,174,94
adb,9808921,8567,13,6
adc,9944898,9551,850,431
add,9860137,9118,292,185
ade,9950187,8840,27,14
adf,9990607,7488,73,20
adg,9916340,8804,170,97
aea,9902839,7828,40,24
aeb,9621708,9542,99,52
aec,9913896,9632,11,5
aed,9867816,8426,156,91
aee,9788751,9133,406,237
aef,9892389,8381,179,76
aeg,9899555,8939,89,39
afa,9933758,8919,425,228
afb,9228463,8580,7,5
afc,9970189,8819,75,34
afd,9958739,10089,201,120
afe,9713710,9062,289,164
aff,9908330,9382,772,510
afg,9923561,8007,604,352
aga,9947658,9066,63,30
agb,9792169,9129,185,84
agc,9838796,8709,437,214
agd,9830970,8007,582,291
age,9759207,8177,368,147
agf,9890194,9349,138,48
agg,9769016,8525,359,197
baa,9991141,8866,332,155
bab,9995807,8931,58,20
bac,9950801,8128,224,126
bad,9968240,9385,221,105
bae,9722261,8450,246,163
baf,9565334,10829,453,231
bag,9960114,8532,108,72
bba,9890771,9286,306,232
bbb,9854604,8385,200,70
bbc,9920845,9784,198,99
bbd,9968987,9793,314,166
bbe,9842142,9525,224,115
bbf,9982480,7550,195,134
bbg,9778915,8295,22,7
bca,9918044,10660,278,166
bcb,9652118,9055,113,80
bcc,9988622,8735,93,47
bcd,9666287,10600,232,125
bce,9918633,9232,254,112
bcf,9584003,11171,49,20
bcg,9667875,7094,152,69
bda,9981636,9582,84,56
bdb,9887194,8689,31,11
bdc,9981278,9718,287,97
bdd,9697505,8691,119,60
bde,9668886,10175,55,19
bdf,9949219,7847,44,18
bdg,9870835,10850,262,67
bea,9551892,8390,186,95
beb,9971228,7684,125,53
bec,9992016,7649,65,26
bed,9915834,9450,159,62
bee,9807940,8349,304,164
bef,9978731,8945,198,105
beg,9980294,9098,283,158
bfa,9886142,9522,606,328
bfb,9902916,8065,148,26
bfc,9891912,8186,258,125
bfd,9840977,9345,136,93
bfe,9950382,10313,89,44
bff,9887040,9345,31,13
bfg,9904123,7846,209,84
bga,9647655,8259,78,39
bgb,9869282,8882,83,36
bgc,9991132,8972,75,50
bgd,9994008,9219,50,11
bge,9938329,10158,284,116
bgf,9380587,8446,354,170
